P01901859A0000|0 60|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P02760922A0000|0 57|Heterogeneous nuclear ribonucleoprotein (hnRNP) core protein A1
P09028942A0000|0 51|Human granulocyte-macrophage colony-stimulating factor
P09882303T0000|0 47|Epstein-Barr virus-encoded latent membrane protein 1
P10559303A0000|0 44|Epstein-Barr virus (EBV) latent membrane protein 1
P08625900T0000|0 47|Pituitary adenylate cyclase-activating polypeptide
P07897696A0000|0 46|Erythrocyte delta-aminolevulinic acid dehydratase
P08631958T0000|0 45|Human cytomegalovirus immediate-early protein IE2
P08072547A0690|0 44|Ras- and ultra-violet-responsive protein kinases
P01448932T0000|0 42|Rice dwarf phytoreovirus segment S12 transcript
P09013760A0000|0 43|Cholesterol side-chain cleavage cytochrome P450
P09211913A0000|0 42|Aryl hydrocarbon receptor nuclear translocator
P07693708A0000|0 41|Insulin-like growth factor-binding protein-2
P09882337A0000|0 40|Varicella-zoster virus (VZV) glycoprotein gI
P10938102T0000|0 40|Eukaryotic translation initiation factor 4GI
P08163528T0000|0 39|Mitochondrial Mas70p signal anchor sequence
P09723896A0000|0 41|Peroxisome proliferator-activated receptors
P07476963A0000|0 41|Peroxisome proliferator-activated receptors
P08464056A0000|0 38|Finger associated box-zinc finger proteins
P10779508T0000|0 38|Estrogen receptor-related receptor alpha 1
P09275159T0000|0 39|Heterogeneous nuclear ribonucleoprotein A1
P02223773A0000|0 35|Chick brain actin depolymerizing factor
P07494303A0000|0 34|Human immunodeficiency virus type 1 Vpr
P10022880A0000|0 36|Mammalian Ras GTPase-activating protein
P07745684T0000|0 34|Human papillomavirus type 31b late gene
P07711730A0000|0 36|Carnitine palmitoyltransferase (CPT) II
P09701616A0108|0 36|Reverse transcriptase-polymerase chain
P10224293A0000|0 35|Receptor protein tyrosine phosphatases
P11278390A0632|0 36|Reverse transcriptase-polymerase chain
P11059777A0813|0 35|Terminal deoxynucleotidyl transferase
P02142921T0000|0 35|Luteinizing hormone-releasing hormone
P11422200A0000|0 35|Granulocyte colony-stimulating factor
P08709224T0000|0 32|Epstein-Barr virus nuclear protein 2
P09372908A1068|0 32|Polyhomeotic and Posterior Sex Combs
P01324404A1208|0 32|HNF-3 beta amino-terminal sequences
P10551879T0000|0 32|Cyclic AMP-dependent protein kinase
P01870194A0302|0 31|Human immunodeficiency virus type 1
P08882710A0000|0 31|Interferon stimulated gene factor 3
P10865838A0000|0 31|Vascular endothelial growth factor
P02243093A0000|0 29|Human T-cell leukemia virus type I
P11264182A0000|0 29|Human T-cell leukemia virus type I
P11689217T0000|0 31|Cholesteryl ester transfer protein
P01452584T0000|0 30|Pseudomonas aeruginosa exotoxin A
P09223475A0898|0 32|Chloramphenicol acetyltransferase
P11062067A0000|0 30|Stress-activated protein kinase 1
P01158512T0000|0 32|Glucose-6-phosphate dehydrogenase
P10079173A0000|0 30|Human neuronal Elav-like proteins
P09784245T0000|0 29|Cardiac myosin-binding protein C
P10585463A0859|0 30|Recombinant prenylcysteine lyase
P11059786T0000|0 29|Epidermal growth factor receptor
P11029459A0000|0 30|Transforming growth factor-beta1
P09827993A0000|0 30|Retroviral nucleocapsid proteins
P08504928T0000|0 28|Drosophila 230-kD TFIID subunit
P11435428A0000|0 29|Cytosolic acetyl-CoA synthetase
P11593394A0000|0 29|Transforming growth factor-beta
P05789870T0001|0 29|Phosphate glucose dehydrogenase
P00027739T0000|0 29|Serum gamma glutamyltransferase
P06684624A0736|0 30|Urinary N-acetylglucosaminidase
P07852400A0519|0 27|Rho GDP/GTP exchange inhibitor
P10747099A0507|0 29|Extracellular-regulated kinase
P02176822A0000|0 28|Multifunctional protein kinase
P10375718A0000|0 27|Basic fibroblast growth factor
P08386317T0000|0 27|Nuclear protein phosphatase 2A
P08995410A0000|0 27|Eukaryotic initiation factor 3
P09426595T0000|0 29|Lysine-ketoglutarate reductase
P07999995A0000|0 27|A receptor-like protein kinase
P00234264A0164|0 27|Gamma glutamyl transpeptidase
P10545192T0000|0 28|Phosphatidylinositol 3-kinase
P09592125A0000|0 27|Class I alpha1,2-mannosidases
P11029467T0000|0 27|Vasoactive intestinal peptide
P09365272T0000|0 26|Xenopus Ran-binding protein 1
P11509615T0000|0 28|Phosphatidylinositol 3-kinase
P08355697A0000|0 27|Protein tyrosine phosphatases
P03928678T0000|0 28|Thyrotropin-releasing hormone
P09230216T0000|0 27|Human thymine-DNA glycosylase
P02474093T0000|0 27|Angiotensin converting enzyme
P00033873T0001|0 27|Gamma glutamyl transpeptidase
P01529530T0000|0 28|Interferon-alpha-induced gene
P03167060A0000|0 26|Insulin-like growth factor II
P01930660T0000|0 25|Insulin-like growth factor 1
P07567300T0000|0 26|Staphylococcal enterotoxin A
P08816792A0000|0 26|DNA-dependent protein kinase
P07521601A0000|0 26|Hematopoietic growth factors
P11145571A0788|0 26|IFN-stimulated gene factor-3
P10488088T0000|0 26|Insulin-like growth factor-I
P01284828T0001|0 26|Tissue plasminogen activator
P10965905T0000|0 26|Insulin receptor substrate-1
P09333018A0000|0 26|Interferon Regulatory Factor
P07737944A0000|0 26|Hematopoietic growth factors
P07820057A0000|0 24|Tumor necrosis factor alpha
P10766246A0000|0 25|Integrin adhesion receptors
P08119149A0000|0 25|Tumor necrosis factor-alpha
P01989999A0000|0 26|Adenylosuccinate synthetase
P10066798A0391|0 25|Cyclin D1-associated kinase
